Strom_mA,Spannung_kV,Temperatur_C,Luftfeuchtigkeit_%,Diodenabstand_mm,Schub_mN
0.02,13.39,19.1,59.7,45,2.31
0.088,17.28,26.9,33.5,45,9.23
0.34,23.75,24.0,52.4,40,32.09
0.014,14.11,19.6,46.9,50,1.9
1.038,26.64,18.9,33.9,20,46.96
0.446,28.29,22.6,35.0,45,48.52
0.19,20.7,24.2,64.5,45,21.7
1.004,26.82,25.7,69.4,25,63.0
0.126,16.14,24.4,44.6,35,11.08
0.028,13.94,20.4,48.5,45,3.06
0.814,25.07,24.8,63.7,25,52.84
0.705,28.09,22.0,32.6,30,48.29
0.971,28.12,24.6,45.8,25,59.61
0.693,24.43,25.4,51.6,25,43.93
0.321,19.21,20.2,69.9,30,25.8
0.755,22.97,19.5,36.4,20,35.32
0.612,29.36,28.0,51.2,40,59.43
0.327,24.52,19.1,65.4,45,36.96
0.882,28.98,22.3,48.1,30,63.44
0.214,21.4,21.0,55.6,45,26.04
0.561,28.21,27.5,66.9,40,55.67
1.205,26.3,27.3,65.1,20,62.58
0.16,18.69,27.5,33.4,40,15.42
0.432,28.83,19.3,56.4,50,58.07
0.188,19.86,22.2,38.5,40,17.47
0.187,16.22,22.0,56.9,30,13.74
0.477,20.94,20.2,43.5,25,30.24
0.051,9.48,25.1,32.4,20,2.4
0.027,12.71,20.4,56.8,40,2.96
0.145,18.41,23.8,39.7,40,14.04
0.112,18.27,22.3,46.9,45,11.51
0.054,15.46,19.0,46.1,45,5.83
0.076,12.04,23.4,35.6,25,4.6
0.718,20.11,22.4,64.5,20,39.43
0.24,24.58,18.1,33.7,50,30.29
0.664,28.38,18.0,45.6,35,55.41
0.179,20.23,27.6,69.8,45,20.25
0.529,24.19,20.2,32.3,30,38.23
1.257,26.76,23.8,50.1,20,68.65
0.051,9.5,26.5,32.7,20,2.28
0.25,21.63,20.5,53.8,40,26.09
0.285,22.73,21.2,40.4,40,28.6
0.181,14.96,24.7,42.0,25,10.68
0.574,28.53,20.1,40.6,40,51.92
0.312,19.95,20.8,47.5,30,26.34
0.274,25.98,24.5,30.3,50,34.14
0.774,24.33,20.6,65.6,25,52.33
0.523,21.95,25.2,38.1,25,32.81
0.331,26.25,18.5,55.4,50,42.75
0.659,24.31,24.4,40.5,25,38.78
0.912,23.2,19.1,67.8,20,48.84
0.027,10.8,23.8,35.9,30,2.09
0.037,15.87,27.7,31.6,50,3.99
0.211,16.94,25.8,65.4,30,15.91
0.899,25.84,26.6,69.0,25,57.8
0.087,17.06,27.2,61.3,45,9.22
0.049,10.38,20.7,61.5,25,2.94
0.24,15.69,20.0,66.7,25,14.34
0.201,15.22,18.2,37.7,25,11.0
0.49,22.95,21.5,50.4,30,35.27
0.147,11.93,19.2,68.8,20,7.72
0.908,25.3,24.0,43.8,20,46.46
0.204,13.6,21.9,53.1,20,10.23
0.252,24.32,23.4,58.8,50,30.63
0.759,21.71,27.5,66.8,20,38.1
0.142,15.18,23.1,56.7,30,10.11
0.687,22.9,22.2,67.6,25,43.23
0.134,14.69,22.1,63.3,30,11.3
0.135,17.73,24.5,48.6,40,13.95
0.016,14.24,25.4,56.4,50,1.87
0.847,22.8,26.2,60.0,20,44.16
0.755,21.45,18.5,69.4,20,38.09
0.074,16.45,23.8,58.7,45,8.62
0.347,24.94,18.1,60.0,45,41.82
0.317,18.22,26.0,57.8,25,19.08
0.884,22.69,22.6,62.1,20,45.25
0.218,23.82,26.9,54.5,50,26.97
0.428,26.95,22.5,36.4,40,41.86
0.116,19.47,24.4,60.6,50,14.27
0.282,15.39,25.1,39.4,20,13.24
0.705,23.54,20.3,57.8,25,45.94
0.4,26.32,22.7,32.5,40,39.71
0.172,20.67,18.2,65.2,45,20.75
0.864,28.98,25.5,64.1,30,69.11
0.172,18.74,26.0,65.9,40,18.76
0.158,16.89,21.4,57.2,35,14.7
0.959,27.95,27.8,51.4,25,56.29
0.445,18.16,24.4,35.4,20,21.33
0.912,27.35,22.5,43.5,25,62.12
0.033,12.93,18.5,68.1,40,3.68
0.165,12.39,25.5,68.0,20,8.57
0.985,28.85,22.7,34.6,25,58.81
0.609,24.45,19.7,54.3,30,49.12
0.115,14.86,19.1,31.0,30,7.29
0.288,21.03,27.4,37.9,35,22.93
0.223,21.21,25.7,64.0,45,28.28
0.205,22.55,18.4,51.3,50,26.67
0.086,10.32,26.5,62.9,20,4.28
0.394,25.78,27.7,40.8,40,36.9
0.1,15.09,26.3,53.7,35,9.72
0.235,18.22,26.8,39.8,30,16.16
0.471,18.73,22.9,43.0,20,23.54
0.121,14.08,26.8,58.0,30,9.19
0.594,20.21,20.4,46.3,20,30.97
0.55,22.61,22.0,39.7,25,34.68
0.148,15.28,22.3,59.8,30,10.93
0.137,14.94,20.3,58.9,30,9.27
0.116,18.65,19.9,38.7,45,10.96
0.483,26.32,24.0,69.2,40,52.87
0.112,14.03,18.1,51.4,30,8.4
0.317,24.56,27.4,55.5,45,35.52
0.06,12.06,22.7,47.6,30,4.57
0.188,18.82,19.1,32.6,35,15.11
0.182,14.68,19.5,52.5,25,11.47
0.171,21.61,22.2,53.8,50,20.43
0.167,17.43,21.0,53.5,35,14.6
0.221,21.76,19.0,60.5,45,26.29
0.242,17.99,25.1,58.1,30,16.35
0.299,25.69,25.9,53.6,50,37.95
0.933,26.19,24.5,66.3,25,61.19
0.823,28.27,24.0,63.0,30,64.73
0.301,19.01,25.0,67.7,30,23.43
0.73,21.28,26.9,59.4,20,36.89
0.525,28.92,26.4,53.0,45,58.29
0.051,11.85,23.8,60.5,30,3.85
0.425,21.97,19.8,53.4,30,32.3
0.02,10.3,22.1,42.8,30,1.52
0.543,25.9,20.9,67.8,35,49.22
0.591,25.0,20.5,34.6,30,39.31
0.396,17.09,24.6,51.7,20,20.47
0.243,17.64,23.5,67.1,30,18.5
0.028,12.94,18.1,46.3,40,2.75
1.283,28.52,24.5,36.2,20,65.25
0.06,13.36,26.3,69.2,35,5.36
0.51,27.01,23.1,65.2,40,57.48
0.077,13.88,21.4,61.5,35,6.96
0.108,18.77,23.9,70.0,50,14.94
0.2,16.3,21.3,60.5,30,14.75
0.379,26.83,20.4,45.3,45,42.96
0.139,16.49,25.1,62.5,35,11.44
0.327,19.05,23.0,31.5,25,18.13
0.363,28.03,26.5,34.0,50,42.45
0.086,18.33,24.5,36.2,50,10.08
0.045,15.23,22.0,33.2,45,4.51
0.275,18.73,24.3,65.5,30,20.94
1.261,29.94,24.3,66.8,25,77.46
0.077,10.21,25.6,58.2,20,4.04
0.25,14.45,18.5,61.8,20,13.28
0.565,21.63,18.8,64.8,25,41.22
0.322,18.11,20.3,55.5,25,18.57
